'Velocity (m/s)', 'Force x (N)', 'Force y (N)', "Particles per tick", 'Time to complete (s)', 'Time of completion','Angular velocity (rad/s)'
70,3.0492787942860056,-0.02173216387749092,40,15,Tue Apr 21 11:31:10 2026, 'N/A'
70,2.691925294091433,0.09956678593055647,40,14,Tue Apr 21 11:31:38 2026,'N/A'
70,2.817550461260056,0.013326369948021988,40,19,Tue Apr 21 11:32:02 2026,'N/A'
70,2.8862296887684087,-0.02957688157266739,40,18,Tue Apr 21 11:32:30 2026,'N/A'
70,2.787494691144613,0.030857941236686972,40,21,Tue Apr 21 11:32:55 2026,'N/A'
70,3.005958284081827,-0.06177371912254053,40,15,Tue Apr 21 11:43:23 2026,'N/A'
70,2.7800378393100194,-0.052432389075779795,40,15,Tue Apr 21 11:43:51 2026,'N/A'
70,2.8571855678870404,0.039977576609370805,40,15,Tue Apr 21 11:44:31 2026,'N/A'
70,2.781442879147899,-0.05294173794031166,40,15,Tue Apr 21 11:45:54 2026,'N/A'
70,2.8411146943727124,-0.01127444885152296,40,18,Tue Apr 21 11:46:15 2026,'N/A'
70,2.8760012791428435,0.06157442020594116,40,16,Tue Apr 21 11:46:48 2026,'N/A'
70,2.847461128452386,0.026580349449871872,40,16,Tue Apr 21 11:47:44 2026,'N/A'
70,2.7717712914734935,0.00996033712441581,40,15,Tue Apr 21 11:49:56 2026,'N/A'
70,2.880633910202674,0.0510585744845793,40,17,Tue Apr 21 11:50:15 2026,'N/A'
70,2.7591028616213356,0.025894618929257325,40,19,Tue Apr 21 11:50:37 2026,'N/A'
70,4.201886848466969,0.08775810348690766,40,12,Tue Apr 21 20:05:42 2026,3
70,3.4196529171548624,0.35814324531625535,40,12,Tue Apr 21 20:06:02 2026,3
70,3.9491985936173144,0.7349256208966544,40,12,Tue Apr 21 20:06:25 2026,3
70,3.185259748787676,0.0031821331178739087,40,7,Tue Apr 21 20:12:39 2026,0
70,3.134721741861467,-0.026984498848838575,40,8,Tue Apr 21 20:13:01 2026,0
70,3.269800557637703,0.00767368483363325,40,8,Tue Apr 21 20:13:14 2026,0
70,1.6213369801525384,0.02228519473176328,40,10,Tue Apr 21 20:28:18 2026,0.0
70,1.590704306970832,0.02677719014673528,40,20,Tue Apr 21 20:32:39 2026,0.0
70,1.4235646911726403,0.02375557479043477,40,11,Tue Apr 21 20:32:53 2026,0.0
70,1.4226603070181103,0.05585946154837434,40,10,Tue Apr 21 20:33:05 2026,0.0
70,3.203287394271187,0.037515109396837394,80,30,Tue Apr 21 20:41:25 2026,0.0
70,3.177521587665201,-0.07395560326972993,80,22,Tue Apr 21 20:43:14 2026,0.0
70,2.1849231462766014,0.3960026752665821,60,26,Tue Apr 21 20:50:43 2026,3.0
